1,-9803155,11340000,0,-12121822,13770000,2,
2,-8852365,10530000,3,-10647925,12150000,1,
3,-8852365,10530000,3,-9965866,11340000,4,
4,-8266051,9720000,6,-9505891,11070000,1,
5,-7798384,9180000,5,-9037879,10530000,2,
6,-7118800,8640000,2,-8438191,9990000,2,
7,-6330070,7830000,3,-7782847,9180000,2,
8,-6245071,7560000,0,-7409722,8910000,5,
9,-5591530,7020000,3,-7052437,8370000,5,
10,-5587177,7020000,0,-6620668,8100000,2,
11,-4532473,5940000,6,-6145012,7560000,4,
12,-4373089,5670000,0,-5372974,6750000,4,
13,-3852541,5130000,1,-4897036,6210000,3,
14,-3373609,4590000,2,-4533727,5940000,0,
15,-2748649,4050000,3,-4131544,5400000,1,
16,-2568427,3780000,3,-3571468,4860000,2,
17,-2290429,3510000,4,-3064642,4320000,4,
18,-2261110,3510000,5,-2942725,4320000,0,
19,-1982545,3240000,3,-2722675,4050000,1,
20,-1981237,3240000,4,-2494573,3780000,4,
21,-1734586,2970000,3,-2259055,3510000,1,
22,-1218790,2430000,0,-2042911,3240000,3,
23,-1170223,2430000,4,-1945276,3240000,1,
24,-956368,2160000,1,-1504669,2700000,5,
25,-924040,2160000,1,-1246909,2430000,3,
26,-924040,2160000,1,-1203397,2430000,0,
27,-906646,2160000,3,-1162192,2430000,5,
28,-896140,2160000,2,-951097,2160000,1,
29,-883306,2160000,3,-937762,2160000,1,
30,-880063,2160000,3,-923908,2160000,3,
31,-880063,2160000,3,-913984,2160000,2,
32,-865738,2160000,1,-898705,2160000,4,
33,-865738,2160000,1,-887047,2160000,1,
34,-846490,2160000,0,-881569,2160000,2,
35,-842221,2160000,3,-876334,2160000,1,
36,-836083,2160000,4,-867238,2160000,5,
37,-820420,2160000,4,-859291,2160000,1,
38,-809140,2160000,2,-851515,2160000,1,
39,-801346,2160000,0,-843511,2160000,2,
40,-775504,2160000,2,-835063,2160000,2,
41,-773389,2160000,3,-823501,2160000,2,
42,-769609,2160000,3,-814666,2160000,2,
43,-760228,2160000,2,-801346,2160000,0,
44,-751807,2160000,3,-783274,2160000,0,
45,-740377,2160000,2,-776665,2160000,2,
46,-474088,1890000,5,-768670,2160000,3,
47,-463546,1890000,3,-760954,2160000,3,
48,-463546,1890000,3,-750886,2160000,4,
49,-453481,1890000,1,-728287,2160000,2,
50,-201640,1620000,1,-473107,1890000,0,
51,-201640,1620000,1,-466147,1890000,0,
52,-182713,1620000,2,-456574,1890000,1,
53,-144322,1620000,2,-451324,1890000,1,
54,-144322,1620000,2,-429211,1890000,2,
55,-138091,1620000,0,-200107,1620000,1,
56,-134659,1620000,2,-186136,1620000,1,
57,-132184,1620000,0,-164395,1620000,3,
58,-129412,1620000,1,-154444,1620000,0,
59,-126868,1620000,4,-146614,1620000,1,
60,-126013,1620000,1,-139876,1620000,3,
61,-119404,1620000,1,-134605,1620000,1,
62,-112276,1620000,1,-132205,1620000,1,
63,-102091,1620000,2,-129757,1620000,1,
