Pojemnoœæ;Liczba Przechowlni;odbiorcy;gatunki;;Paleta;;;;;;;;;;
300;30;12;4;;300;;;;;;;;;;
paŸdziernik;listopad;grudzieñ;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;;ceny na wolnym rynku;;
360;369;375;378;384;399;420;450;510;525;540;549;gat1;;;
330;339;345;348;354;369;390;420;480;495;510;519;gat2;;;
369;378;384;387;393;408;429;459;519;534;549;558;gat3;;;
339;348;354;357;363;378;399;429;489;504;519;528;gat4;;;
;;;;;;;;;;;;;ceny u obiorców;;
390;399;405;408;414;429;450;480;540;555;570;579;gat1;Odbiorca1;;
354;363;369;372;378;393;414;444;504;519;534;543;gat2;;;
387;396;402;405;411;426;447;477;537;552;567;576;gat3;;;
366;375;381;384;390;405;426;456;516;531;546;555;gat4;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat1;Odbiorca2;;
375;384;390;393;399;414;435;465;525;540;555;564;gat2;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat3;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat4;;;
393;402;408;411;417;432;453;483;543;558;573;582;gat1;Odbiorca3;;
360;369;375;378;384;399;420;450;510;525;540;549;gat2;;;
396;405;411;414;420;435;456;486;546;561;576;585;gat3;;;
381;390;396;399;405;420;441;471;531;546;561;570;gat4;;;
363;372;378;387;387;405;426;453;516;537;555;555;gat1;Odbiorca4;;
357;357;360;363;366;369;399;429;495;510;525;525;gat2;;;
375;381;384;390;396;420;432;462;540;540;567;567;gat3;;;
369;351;357;366;390;390;417;447;501;510;525;540;gat4;;;
360;387;387;387;387;417;450;453;567;567;567;576;gat1;Odbiorca5;;
351;354;357;363;366;390;396;432;501;504;537;543;gat2;;;
372;384;393;402;426;429;468;477;543;543;558;570;gat3;;;
357;357;369;372;390;399;408;444;540;570;573;576;gat4;;;
372;375;381;405;390;405;429;480;528;531;558;579;gat1;Odbiorca6;;
333;342;360;366;390;390;393;426;492;498;513;525;gat2;;;
381;390;387;399;420;411;435;465;531;540;567;561;gat3;;;
360;390;396;396;396;399;402;432;498;507;522;534;gat4;;;
399;408;414;417;423;438;459;489;549;564;579;588;gat1;Odbiorca7;;
360;360;363;366;369;372;402;432;498;513;528;528;gat2;;;
384;393;390;402;423;414;438;468;534;543;570;564;gat3;;;
366;396;402;402;402;405;408;438;504;513;528;540;gat4;;;
366;375;381;390;390;408;429;456;519;540;558;558;gat1;Odbiorca8;;
366;366;369;372;375;378;408;438;504;519;534;534;gat2;;;
408;414;417;423;429;453;465;495;573;573;600;600;gat3;;;
357;357;369;372;390;399;408;444;540;570;573;576;gat4;;;
366;375;381;390;390;408;429;456;519;540;558;558;gat1;Odbiorca9;;
348;351;354;360;363;387;393;429;498;501;534;540;gat2;;;
405;411;414;420;426;450;462;492;570;570;597;597;gat3;;;
354;354;366;369;387;396;405;441;537;567;570;573;gat4;;;
375;378;384;408;393;408;432;483;531;534;561;582;gat1;Odbiorca10;;
339;348;366;372;396;396;399;432;498;504;519;531;gat2;;;
390;399;396;408;429;420;444;474;540;549;576;570;gat3;;;
354;354;366;369;387;396;405;441;537;567;570;573;gat4;;;
414;423;429;432;438;453;474;504;564;579;594;603;gat1;Odbiorca11;;
378;378;381;384;387;390;420;450;516;531;546;546;gat2;;;
378;387;390;396;417;429;432;462;528;537;564;570;gat3;;;
363;393;399;399;399;402;405;435;501;510;525;537;gat4;;;
372;381;387;390;396;411;432;462;522;537;552;561;gat1;Odbiorca12;;
369;378;384;387;393;408;429;459;519;534;549;558;gat2;;;
390;399;405;408;414;429;450;480;540;555;570;579;gat3;;;
345;354;360;363;369;384;405;435;495;510;525;534;gat4;;;
;;;;;;;;;;;;;zamowienia;;
41;41;40;42;43;44;47;50;55;57;59;61;gat1;Odbiorca1;580;
43;44;44;45;45;47;49;52;58;60;62;64;gat2;;613;
40;41;41;42;42;44;46;49;55;57;59;61;gat3;;577;
40;39;40;40;41;42;44;47;53;55;57;59;gat4;;557;
39;40;40;41;41;43;45;48;54;55;56;57;gat1;Odbiorca2;559;
43;44;45;46;46;48;50;52;59;60;61;62;gat2;;616;
40;40;41;41;42;43;46;49;55;56;57;58;gat3;;568;
38;40;36;40;41;42;44;47;53;55;57;59;gat4;;552;
41;42;42;43;43;45;47;50;56;58;60;62;gat1;Odbiorca3;589;
37;38;38;39;40;41;43;46;52;53;54;55;gat2;;536;
41;41;42;43;43;45;47;50;56;57;58;59;gat3;;582;
39;39;40;40;41;43;45;48;54;55;56;57;gat4;;557;
55;57;59;61;41;42;44;40;41;47;53;55;gat1;Odbiorca4;595;
58;60;62;64;41;43;45;41;41;50;56;58;gat2;;619;
55;57;59;61;46;48;50;46;46;46;52;53;gat3;;619;
53;55;57;59;42;43;46;41;42;50;56;57;gat4;;601;
46;48;50;52;41;42;44;43;45;48;54;55;gat1;Odbiorca5;568;
42;43;46;49;43;45;47;48;50;52;46;46;gat2;;557;
41;42;44;47;47;53;55;43;46;49;42;50;gat3;;559;
43;45;47;50;50;56;58;42;44;47;45;48;gat4;;575;
40;41;43;46;46;52;53;45;47;50;50;52;gat1;Odbiorca6;565;
43;45;47;50;50;56;57;41;43;46;46;49;gat2;;573;
41;43;45;48;48;54;55;45;47;50;44;47;gat3;;567;
41;42;44;40;50;56;58;61;59;42;47;50;gat4;;590;
43;45;48;59;46;52;53;64;52;41;41;42;gat1;Odbiorca7;586;
48;50;52;52;50;56;57;61;49;43;43;45;gat2;;606;
43;46;49;49;48;54;55;59;47;47;48;50;gat3;;595;
42;44;47;47;40;41;47;57;50;50;43;46;gat4;;554;
45;47;50;50;41;41;50;62;46;46;42;44;gat1;Odbiorca8;564;
41;43;46;46;46;46;46;58;50;50;45;47;gat2;;564;
40;41;43;45;41;61;59;42;47;53;55;57;gat3;;584;
61;41;42;44;43;64;52;41;41;56;58;60;gat4;;603;
64;41;43;45;48;61;49;43;43;52;53;54;gat1;Odbiorca9;596;
61;46;48;50;43;59;47;47;48;56;57;58;gat2;;620;
59;42;43;46;42;57;50;59;43;54;55;56;gat3;;606;
52;41;42;44;45;62;46;57;42;41;47;53;gat4;;572;
49;43;45;47;41;43;46;55;41;41;50;41;gat1;Odbiorca10;542;
47;47;53;55;45;47;50;58;46;46;46;46;gat2;;586;
50;50;56;58;61;59;42;53;41;42;45;41;gat3;;598;
46;46;52;53;64;52;41;57;43;45;44;43;gat4;;586;
50;50;56;57;61;49;43;55;48;50;45;48;gat1;Odbiorca11;612;
48;48;54;55;59;47;59;52;52;50;56;59;gat2;;639;
40;39;40;40;41;42;57;47;53;55;46;57;gat3;;557;
39;40;40;41;41;43;55;48;54;55;44;55;gat4;;555;
43;44;45;46;46;48;58;52;59;60;47;58;gat1;Odbiorca12;606;
40;40;41;41;42;43;53;49;55;56;57;53;gat2;;570;
38;40;36;40;41;42;57;47;53;55;57;57;gat3;;563;
60;40;35;38;38;40;52;52;50;56;54;55;gat4;;570;
paŸdziernik;listopad;grudzieñ;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;;Koszty;27908;
4500;4000;3500;3200;3800;4200;4600;4900;5200;5500;5000;4500;;Za jedn¹ przechowalniê;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
