1,-9745459,11340000,24,-12393493,14040000,0,
2,-9468973,11070000,19,-11192737,12690000,28,
3,-8978050,10530000,33,-10625971,12150000,27,
4,-8559655,9990000,27,-10056355,11610000,34,
5,-7749949,9180000,26,-9379660,10800000,24,
6,-7524361,8910000,28,-8937715,10260000,16,
7,-6470977,7830000,24,-8513965,9990000,39,
8,-6129970,7560000,30,-8189482,9720000,30,
9,-6129970,7560000,30,-7699627,9180000,29,
10,-6129970,7560000,30,-7388344,8910000,37,
11,-6129970,7560000,30,-7136347,8640000,24,
12,-6129970,7560000,30,-6939478,8370000,24,
13,-5260144,6480000,27,-6857443,8370000,23,
14,-5113399,6480000,29,-6692203,8100000,27,
15,-5113399,6480000,29,-6482212,7830000,23,
16,-4971934,6210000,30,-6293279,7560000,26,
17,-4971934,6210000,30,-6132811,7560000,23,
18,-4852093,6210000,30,-5979559,7290000,26,
19,-4687561,5940000,24,-5759170,7020000,33,
20,-4654867,5940000,40,-5718412,7020000,29,
21,-3753862,5130000,28,-5660326,7020000,41,
22,-3753862,5130000,28,-5427769,6750000,31,
23,-3753862,5130000,28,-5246194,6480000,25,
24,-3753862,5130000,28,-5182093,6480000,33,
25,-3753862,5130000,28,-5120206,6480000,34,
26,-3753862,5130000,28,-5100133,6480000,29,
27,-3714550,4860000,27,-4982623,6210000,29,
28,-3695995,4860000,25,-4932463,6210000,25,
29,-3695995,4860000,25,-4918162,6210000,22,
30,-3695995,4860000,25,-4899496,6210000,32,
31,-3695995,4860000,25,-4797676,5940000,24,
32,-3695995,4860000,25,-4710796,5940000,22,
33,-3645664,4860000,35,-4670539,5940000,27,
34,-3625975,4860000,24,-4598035,5940000,33,
35,-3320233,4590000,22,-4473679,5670000,32,
36,-3320233,4590000,22,-4437532,5670000,28,
37,-3320233,4590000,22,-4353880,5670000,27,
38,-3320233,4590000,22,-4234849,5400000,21,
39,-2599627,3780000,36,-4168372,5400000,30,
40,-2599627,3780000,36,-4102159,5400000,25,
41,-2599627,3780000,36,-4018201,5130000,29,
42,-2599627,3780000,36,-3918052,5130000,17,
43,-2375197,3510000,32,-3851308,5130000,40,
44,-2375197,3510000,32,-3801628,5130000,27,
45,-2375197,3510000,32,-3681250,4860000,24,
46,-2375197,3510000,32,-3592237,4860000,28,
47,-2375197,3510000,32,-3556663,4860000,29,
48,-2375197,3510000,32,-3421702,4590000,31,
49,-2172238,3510000,43,-3355342,4590000,28,
50,-2172238,3510000,43,-3340033,4590000,23,
51,-2172238,3510000,43,-3318979,4590000,32,
52,-2025199,3240000,29,-3156463,4320000,25,
53,-2025199,3240000,29,-3108790,4320000,34,
54,-1893886,3240000,30,-3081157,4320000,27,
55,-1893886,3240000,30,-3045382,4320000,30,
56,-1893886,3240000,30,-2988823,4050000,29,
57,-1893886,3240000,30,-2900635,4050000,27,
58,-1893886,3240000,30,-2848039,4050000,30,
59,-1893886,3240000,30,-2811103,4050000,34,
60,-1893886,3240000,30,-2798710,4050000,25,
61,-1893886,3240000,30,-2773492,4050000,35,
62,-1704706,2970000,33,-2742976,4050000,22,
63,-1704706,2970000,33,-2699233,4050000,23,
64,-1281556,2430000,21,-2612719,3780000,29,
65,-1281556,2430000,21,-2595445,3780000,25,
66,-1281556,2430000,21,-2556550,3780000,33,
67,-1281556,2430000,21,-2535298,3780000,21,
68,-1281556,2430000,21,-2511019,3780000,33,
69,-1281556,2430000,21,-2485387,3780000,31,
70,-1281556,2430000,21,-2453803,3510000,21,
71,-1281556,2430000,21,-2398213,3510000,31,
72,-1281556,2430000,21,-2389720,3780000,21,
73,-1281556,2430000,21,-2375197,3510000,32,
74,-1281556,2430000,21,-2358673,3510000,35,
75,-1281556,2430000,21,-2317387,3510000,33,
76,-1281556,2430000,21,-2309536,3510000,25,
77,-1281556,2430000,21,-2292469,3510000,24,
78,-1281556,2430000,21,-2276527,3510000,26,
79,-1281556,2430000,21,-2274790,3510000,21,
80,-1281556,2430000,21,-2273629,3510000,21,
81,-1281556,2430000,21,-2272516,3510000,26,
82,-1281556,2430000,21,-2267470,3510000,26,
83,-1281556,2430000,21,-2250370,3510000,26,
84,-1281556,2430000,21,-2249668,3510000,30,
85,-1281556,2430000,21,-2243608,3510000,32,
86,-1281556,2430000,21,-2240644,3510000,25,
87,-1281556,2430000,21,-2224852,3510000,29,
88,-1281556,2430000,21,-2219878,3510000,25,
89,-1281556,2430000,21,-2202223,3510000,37,
90,-1237420,2430000,24,-2187664,3510000,25,
91,-1237420,2430000,24,-2187664,3510000,25,
92,-1237420,2430000,24,-2163490,3510000,28,
93,-1237420,2430000,24,-2089180,3240000,26,
94,-1237420,2430000,24,-2071342,3240000,32,
95,-1237420,2430000,24,-2054284,3240000,21,
96,-1237420,2430000,24,-2036521,3240000,22,
97,-1156138,2430000,24,-2023948,3240000,21,
98,-1156138,2430000,24,-2016703,3240000,31,
99,-1156138,2430000,24,-2008825,3240000,26,
100,-1156138,2430000,24,-1998196,3240000,24,
101,-1156138,2430000,24,-1991131,3240000,23,
102,-1156138,2430000,24,-1977829,3240000,29,
103,-1156138,2430000,24,-1968943,3240000,31,
104,-727636,1890000,21,-1953697,3240000,24,
105,-727636,1890000,21,-1949155,3240000,24,
106,-727636,1890000,21,-1938133,3240000,22,
107,-727636,1890000,21,-1912123,3240000,33,
108,-727636,1890000,21,-1845379,3240000,24,
109,-727636,1890000,21,-1839604,2970000,18,
110,-727636,1890000,21,-1836127,2970000,24,
111,-727636,1890000,21,-1801978,2970000,25,
112,-727636,1890000,21,-1799572,2970000,26,
113,-727636,1890000,21,-1764868,2970000,30,
114,-727636,1890000,21,-1746565,2970000,26,
115,-727636,1890000,21,-1742881,2970000,35,
116,-727636,1890000,21,-1740373,2970000,15,
117,-727636,1890000,21,-1730365,2970000,21,
118,-727636,1890000,21,-1730365,2970000,21,
119,-727636,1890000,21,-1712893,2970000,25,
120,-727636,1890000,21,-1709371,2970000,20,
121,-727636,1890000,21,-1703920,2970000,24,
122,-727636,1890000,21,-1701364,2970000,32,
123,-727636,1890000,21,-1699729,2970000,32,
124,-727636,1890000,21,-1682146,2970000,21,
125,-727636,1890000,21,-1661872,2970000,25,
126,-727636,1890000,21,-1606135,2970000,27,
127,-727636,1890000,21,-1578712,2700000,25,
128,-197083,1350000,23,-1561087,2700000,23,
129,-197083,1350000,23,-1535548,2700000,18,
130,-197083,1350000,23,-1520692,2700000,24,
131,-197083,1350000,23,-1500469,2700000,25,
132,-197083,1350000,23,-1497967,2700000,21,
133,-197083,1350000,23,-1481389,2700000,27,
134,-197083,1350000,23,-1464112,2700000,17,
135,-197083,1350000,23,-1457521,2700000,30,
136,-197083,1350000,23,-1457521,2700000,30,
137,-197083,1350000,23,-1457296,2700000,22,
138,-197083,1350000,23,-1451065,2700000,18,
139,-197083,1350000,23,-1437076,2700000,26,
140,-197083,1350000,23,-1426651,2700000,32,
141,40829,1080000,26,-1281556,2430000,21,
142,40829,1080000,26,-1265731,2430000,22,
143,40829,1080000,26,-1238941,2430000,30,
144,40829,1080000,26,-1231537,2430000,18,
145,40829,1080000,26,-1211239,2430000,25,
146,40829,1080000,26,-1201906,2430000,28,
147,40829,1080000,26,-1172092,2430000,27,
148,40829,1080000,26,-1171897,2430000,29,
149,40829,1080000,26,-1165756,2430000,20,
150,40829,1080000,26,-1042633,2160000,35,
151,40829,1080000,26,-1035331,2160000,27,
152,40829,1080000,26,-1022659,2160000,24,
